,volume,price,close,times,K,D,J,rsi10,rsi5,macd,WR5,WR10,Prediction_Result
2184,3513561,266772243,76.0,1756,74.42091418,73.64078725,72.08053339,53.72392417318045,56.84548715276526,-0.2143084205351793,-42.85714285714228,-36.84210526315793,0
2404,3936073,288819174,73.6,1741,20.2405623,17.23736404,11.23096752,33.706447293722555,29.292590742119334,-0.6460291875790038,-75.00000000000044,-91.66666666666684,0
1115,7927354,438798443,55.8,3210,84.68871434,80.05492033,70.7873323,80.74202178935825,89.06238187876659,0.4264359756266369,0.0,0.0,0
1909,5592565,351607396,62.8,2144,23.3946486,43.04354127,82.34132661,39.34479996292799,23.38222886644583,1.0033813294096805,-100.0,-100.0,0
2084,14602344,1079080356,74.2,4087,42.30110314,53.59965793,76.1967675,54.61932632220597,52.97234077494109,0.9216375677213148,-14.999999999999858,-50.0,1
2649,11484455,718659266,62.4,4597,32.91530596,28.00479107,18.1837613,36.73179721149224,37.89618970757741,-1.231467234387888,-100.0,-69.56521739130449,1
2048,6920920,481555995,69.6,3612,27.75926159,47.16989723,85.99116851,46.44188267085466,38.99464385512999,0.64710133512804,-100.0,-100.0,1
1846,11457294,697578074,60.6,4848,83.21806885,77.82263466,67.03176629,59.34648543395841,56.83298386406752,0.6121690614002193,-100.0,-29.999999999999957,0
1395,23229804,1266282795,55.2,8266,56.69882194,66.31569754,85.54944874,45.899406622505694,38.01762553617241,0.6477116818432791,-100.0,-76.92307692307688,0
130,9045011,340462975,37.5,2664,73.36351859,77.57117292,85.98648158,68.99545868582567,68.48588261230772,0.8346131328441417,0.0,-25.00000000000022,0
2316,8069687,653182487,81.0,3990,86.3450272,83.10889782,76.63663907,68.32354508830595,67.12425221693475,1.6656622378077597,-28.571428571428864,-8.695652173913151,0
1008,20944236,1051129362,50.1,7267,7.675457667,10.30415995,15.56156452,20.41949454708149,6.467013574404551,-0.3416329918542202,-100.0,-100.0,0
2138,7341477,567571153,77.6,2874,66.58876812,75.19577373,92.40978495,54.64271108487899,56.580639082494486,-0.0536645378859141,-75.00000000000044,-35.294117647059,1
1552,4462497,262329963,59.1,2632,89.66215393,75.48069209,47.1177684,65.75780631391967,75.83208842667052,0.152956010781887,0.0,0.0,0
1799,4652723,257876041,55.7,1925,34.02129019,25.46880974,8.363848847,45.869870933899,46.62341204214929,-0.0290374140166448,-46.15384615384582,-46.15384615384582,1
2259,3605951,263786645,73.3,2060,40.7741317,55.47415927,84.8742144,50.71056420434101,47.04545297102232,0.6356073559057321,-68.00000000000011,-68.00000000000011,0
